landmark_path,video_name,label,file_exists
processed_landmarks\truthful\trial_truth_057.npy,trial_truth_057,0,True
processed_landmarks\deceptive\trial_lie_034.npy,trial_lie_034,1,True
processed_landmarks\deceptive\trial_lie_020.npy,trial_lie_020,1,True
processed_landmarks\truthful\trial_truth_034.npy,trial_truth_034,0,True
processed_landmarks\deceptive\trial_lie_022.npy,trial_lie_022,1,True
processed_landmarks\truthful\trial_truth_020.npy,trial_truth_020,0,True
processed_landmarks\deceptive\trial_lie_055.npy,trial_lie_055,1,True
processed_landmarks\truthful\trial_truth_024.npy,trial_truth_024,0,True
processed_landmarks\truthful\trial_truth_005.npy,trial_truth_005,0,True
processed_landmarks\deceptive\trial_lie_009.npy,trial_lie_009,1,True
processed_landmarks\deceptive\trial_lie_003.npy,trial_lie_003,1,True
processed_landmarks\deceptive\trial_lie_005.npy,trial_lie_005,1,True
processed_landmarks\truthful\trial_truth_045.npy,trial_truth_045,0,True
processed_landmarks\truthful\trial_truth_056.npy,trial_truth_056,0,True
processed_landmarks\deceptive\trial_lie_054.npy,trial_lie_054,1,True
processed_landmarks\truthful\trial_truth_007.npy,trial_truth_007,0,True
processed_landmarks\deceptive\trial_lie_056.npy,trial_lie_056,1,True
processed_landmarks\deceptive\trial_lie_031.npy,trial_lie_031,1,True
processed_landmarks\truthful\trial_truth_051.npy,trial_truth_051,0,True
processed_landmarks\truthful\trial_truth_022.npy,trial_truth_022,0,True
processed_landmarks\deceptive\trial_lie_023.npy,trial_lie_023,1,True
processed_landmarks\deceptive\trial_lie_015.npy,trial_lie_015,1,True
processed_landmarks\truthful\trial_truth_059.npy,trial_truth_059,0,True
processed_landmarks\truthful\trial_truth_039.npy,trial_truth_039,0,True
processed_landmarks\truthful\trial_truth_018.npy,trial_truth_018,0,True
processed_landmarks\deceptive\trial_lie_041.npy,trial_lie_041,1,True
processed_landmarks\truthful\trial_truth_013.npy,trial_truth_013,0,True
processed_landmarks\truthful\trial_truth_006.npy,trial_truth_006,0,True
processed_landmarks\deceptive\trial_lie_010.npy,trial_lie_010,1,True
processed_landmarks\truthful\trial_truth_052.npy,trial_truth_052,0,True
processed_landmarks\truthful\trial_truth_044.npy,trial_truth_044,0,True
processed_landmarks\deceptive\trial_lie_030.npy,trial_lie_030,1,True
processed_landmarks\deceptive\trial_lie_053.npy,trial_lie_053,1,True
processed_landmarks\deceptive\trial_lie_021.npy,trial_lie_021,1,True
processed_landmarks\deceptive\trial_lie_025.npy,trial_lie_025,1,True
processed_landmarks\truthful\trial_truth_053.npy,trial_truth_053,0,True
processed_landmarks\truthful\trial_truth_036.npy,trial_truth_036,0,True
processed_landmarks\deceptive\trial_lie_011.npy,trial_lie_011,1,True
processed_landmarks\deceptive\trial_lie_038.npy,trial_lie_038,1,True
processed_landmarks\deceptive\trial_lie_028.npy,trial_lie_028,1,True
processed_landmarks\deceptive\trial_lie_039.npy,trial_lie_039,1,True
processed_landmarks\truthful\trial_truth_058.npy,trial_truth_058,0,True
processed_landmarks\truthful\trial_truth_014.npy,trial_truth_014,0,True
processed_landmarks\deceptive\trial_lie_019.npy,trial_lie_019,1,True
processed_landmarks\deceptive\trial_lie_052.npy,trial_lie_052,1,True
processed_landmarks\truthful\trial_truth_028.npy,trial_truth_028,0,True
processed_landmarks\truthful\trial_truth_047.npy,trial_truth_047,0,True
processed_landmarks\deceptive\trial_lie_050.npy,trial_lie_050,1,True
processed_landmarks\deceptive\trial_lie_001.npy,trial_lie_001,1,True
processed_landmarks\deceptive\trial_lie_024.npy,trial_lie_024,1,True
processed_landmarks\truthful\trial_truth_009.npy,trial_truth_009,0,True
processed_landmarks\truthful\trial_truth_049.npy,trial_truth_049,0,True
processed_landmarks\truthful\trial_truth_019.npy,trial_truth_019,0,True
processed_landmarks\truthful\trial_truth_002.npy,trial_truth_002,0,True
processed_landmarks\deceptive\trial_lie_060.npy,trial_lie_060,1,True
processed_landmarks\deceptive\trial_lie_061.npy,trial_lie_061,1,True
processed_landmarks\truthful\trial_truth_010.npy,trial_truth_010,0,True
processed_landmarks\truthful\trial_truth_037.npy,trial_truth_037,0,True
processed_landmarks\truthful\trial_truth_001.npy,trial_truth_001,0,True
processed_landmarks\truthful\trial_truth_033.npy,trial_truth_033,0,True
processed_landmarks\truthful\trial_truth_029.npy,trial_truth_029,0,True
processed_landmarks\deceptive\trial_lie_032.npy,trial_lie_032,1,True
processed_landmarks\deceptive\trial_lie_033.npy,trial_lie_033,1,True
processed_landmarks\deceptive\trial_lie_016.npy,trial_lie_016,1,True
processed_landmarks\deceptive\trial_lie_013.npy,trial_lie_013,1,True
processed_landmarks\truthful\trial_truth_054.npy,trial_truth_054,0,True
processed_landmarks\deceptive\trial_lie_046.npy,trial_lie_046,1,True
processed_landmarks\truthful\trial_truth_032.npy,trial_truth_032,0,True
processed_landmarks\deceptive\trial_lie_027.npy,trial_lie_027,1,True
processed_landmarks\truthful\trial_truth_040.npy,trial_truth_040,0,True
processed_landmarks\deceptive\trial_lie_012.npy,trial_lie_012,1,True
processed_landmarks\truthful\trial_truth_012.npy,trial_truth_012,0,True
processed_landmarks\truthful\trial_truth_035.npy,trial_truth_035,0,True
processed_landmarks\truthful\trial_truth_004.npy,trial_truth_004,0,True
processed_landmarks\deceptive\trial_lie_037.npy,trial_lie_037,1,True
processed_landmarks\deceptive\trial_lie_058.npy,trial_lie_058,1,True
processed_landmarks\truthful\trial_truth_030.npy,trial_truth_030,0,True
processed_landmarks\truthful\trial_truth_027.npy,trial_truth_027,0,True
processed_landmarks\deceptive\trial_lie_043.npy,trial_lie_043,1,True
