video_name,label,window_index,start_frame,end_frame,start_time,end_time
trial_truth_057,0,0,0,25,0.0,5.0
trial_truth_057,0,1,10,35,2.0,7.0
trial_truth_057,0,2,20,45,4.0,9.0
trial_truth_057,0,3,30,55,6.0,11.0
trial_truth_057,0,4,40,65,8.0,13.0
trial_truth_057,0,5,50,75,10.0,15.0
trial_truth_057,0,6,60,85,12.0,17.0
trial_truth_057,0,7,70,95,14.0,19.0
trial_truth_057,0,8,80,105,16.0,21.0
trial_truth_057,0,9,90,115,18.0,23.0
trial_truth_057,0,10,100,125,20.0,25.0
trial_truth_057,0,11,110,135,22.0,27.0
trial_truth_057,0,12,120,145,24.0,29.0
trial_truth_057,0,13,130,155,26.0,31.0
trial_truth_057,0,14,140,165,28.0,33.0
trial_truth_057,0,15,150,175,30.0,35.0
trial_truth_057,0,16,160,185,32.0,37.0
trial_lie_034,1,0,0,25,0.0,5.0
trial_lie_034,1,1,10,35,2.0,7.0
trial_lie_034,1,2,20,45,4.0,9.0
trial_lie_034,1,3,30,55,6.0,11.0
trial_lie_034,1,4,40,65,8.0,13.0
trial_lie_034,1,5,50,75,10.0,15.0
trial_lie_034,1,6,60,85,12.0,17.0
trial_lie_034,1,7,70,95,14.0,19.0
trial_lie_034,1,8,80,105,16.0,21.0
trial_lie_034,1,9,90,115,18.0,23.0
trial_lie_034,1,10,100,125,20.0,25.0
trial_lie_034,1,11,110,135,22.0,27.0
trial_lie_034,1,12,120,145,24.0,29.0
trial_lie_020,1,0,0,25,0.0,5.0
trial_lie_020,1,1,10,35,2.0,7.0
trial_lie_020,1,2,20,45,4.0,9.0
trial_lie_020,1,3,30,55,6.0,11.0
trial_truth_034,0,0,0,25,0.0,5.0
trial_truth_034,0,1,10,35,2.0,7.0
trial_truth_034,0,2,20,45,4.0,9.0
trial_truth_034,0,3,30,55,6.0,11.0
trial_truth_034,0,4,40,65,8.0,13.0
trial_truth_034,0,5,50,75,10.0,15.0
trial_truth_034,0,6,60,85,12.0,17.0
trial_truth_034,0,7,70,95,14.0,19.0
trial_truth_034,0,8,80,105,16.0,21.0
trial_truth_034,0,9,90,115,18.0,23.0
trial_truth_034,0,10,100,125,20.0,25.0
trial_truth_034,0,11,110,135,22.0,27.0
trial_truth_034,0,12,120,145,24.0,29.0
trial_truth_034,0,13,130,155,26.0,31.0
trial_lie_022,1,0,0,25,0.0,5.0
trial_lie_022,1,1,10,35,2.0,7.0
trial_lie_022,1,2,20,45,4.0,9.0
trial_lie_022,1,3,30,55,6.0,11.0
trial_lie_022,1,4,40,65,8.0,13.0
trial_lie_022,1,5,50,75,10.0,15.0
trial_lie_022,1,6,60,85,12.0,17.0
trial_lie_022,1,7,70,95,14.0,19.0
trial_lie_022,1,8,80,105,16.0,21.0
trial_lie_022,1,9,90,115,18.0,23.0
trial_lie_022,1,10,100,125,20.0,25.0
trial_lie_022,1,11,110,135,22.0,27.0
trial_lie_022,1,12,120,145,24.0,29.0
trial_lie_022,1,13,130,155,26.0,31.0
trial_lie_022,1,14,140,165,28.0,33.0
trial_lie_022,1,15,150,175,30.0,35.0
trial_lie_022,1,16,160,185,32.0,37.0
trial_lie_022,1,17,170,195,34.0,39.0
trial_lie_022,1,18,180,205,36.0,41.0
