video,status,total_frames,valid_frames,missing_frames,feature_dim,output_file
trial_truth_017,failed,23,357,23,,
trial_truth_016,failed,38,335,38,,
trial_lie_047,failed,80,306,80,,
trial_lie_045,failed,95,275,95,,
trial_lie_049,failed,115,224,115,,
trial_truth_041,failed,170,211,170,,
trial_lie_059,failed,200,208,200,,
trial_lie_048,failed,240,205,240,,
trial_lie_050,success,125,205,124,1434,processed_landmarks\deceptive\trial_lie_050.npy
trial_truth_050,success,115,196,111,1434,processed_landmarks\truthful\trial_truth_050.npy
trial_lie_051,success,35,196,30,1434,processed_landmarks\deceptive\trial_lie_051.npy
trial_lie_046,success,165,189,160,1434,processed_landmarks\deceptive\trial_lie_046.npy
trial_lie_003,success,36,188,28,1434,processed_landmarks\deceptive\trial_lie_003.npy
trial_lie_055,success,160,185,152,1434,processed_landmarks\deceptive\trial_lie_055.npy
trial_lie_001,success,85,185,74,1434,processed_landmarks\deceptive\trial_lie_001.npy
trial_truth_052,success,145,185,134,1434,processed_landmarks\truthful\trial_truth_052.npy
trial_lie_060,success,125,185,109,1434,processed_landmarks\deceptive\trial_lie_060.npy
trial_lie_053,success,180,184,162,1434,processed_landmarks\deceptive\trial_lie_053.npy
trial_lie_004,success,59,178,37,1434,processed_landmarks\deceptive\trial_lie_004.npy
trial_lie_008,success,37,175,9,1434,processed_landmarks\deceptive\trial_lie_008.npy
trial_truth_003,success,64,173,32,1434,processed_landmarks\truthful\trial_truth_003.npy
trial_truth_018,success,35,172,0,1434,processed_landmarks\truthful\trial_truth_018.npy
trial_truth_020,success,35,172,0,1434,processed_landmarks\truthful\trial_truth_020.npy
trial_lie_012,success,40,170,2,1434,processed_landmarks\deceptive\trial_lie_012.npy
trial_lie_044,success,45,169,3,1434,processed_landmarks\deceptive\trial_lie_044.npy
trial_lie_005,success,267,168,223,1434,processed_landmarks\deceptive\trial_lie_005.npy
trial_lie_061,success,145,165,96,1434,processed_landmarks\deceptive\trial_lie_061.npy
trial_truth_021,success,53,162,0,1434,processed_landmarks\truthful\trial_truth_021.npy
